        n    z      alpha(keV)
3205   95   55       -5.1E+3 5
3206   95   55       -5.1E+3 5
3207   92   56         -3098 6
3208   92   56         -3098 6
3209   93   56        -3762 11
3210   93   56        -3762 11
3211   94   56        -4360 25
3212   94   56        -4360 25
3213   95   56       -5.0E+3 4
3214   95   56       -5.0E+3 4
3215   90   56         -2062 3
3216   91   56        -2486 20
3217   91   56        -2486 20
3218   96   56       -5.4E+3 5
3219   96   56       -5.4E+3 5
3220   97   56       -5.9E+3 5
3221   98   56            0 0
3222   56   56            0 0
3223   57   56         6.E+2 3
3224   58   56         3592 19
3225   58   56         3592 19
3226   58   56         3592 19
3227   58   56         3592 19
3228   59   56      3.18E+3 23
3229   59   56      3.18E+3 23
3230   60   56      3.22E+3 20
3231   60   56      3.22E+3 20
3232   61   56        2.3E+3 3
3233   61   56        2.3E+3 3
3234   61   56        2.3E+3 3
3235   62   56      2.46E+3 20
3236   62   56      2.46E+3 20
3237   67   56          715 16
3238   68   56          658 17
3239   69   56          387 15
3240   63   56      1.64E+3 20
3241   63   56      1.64E+3 20
3242   64   56        1.7E+3 3
3243   65   56      1.02E+3 14
3244   66   56       1.05E+3 3
3245   70   56          260 17
3246   71   56            0 AP
3247   71   56            0 AP
3248   72   56       -126.7 21
3249   73   56         -286 11
3250   73   56         -286 11
3251   73   56         -286 11
3252   78   56        8168.0 3
3253   79   56      8248.46 25
3254   79   56     -1862.00 25
3255   74   56        -535.3 3
3256   74   56        -535.3 3
3257   75   56          -783 4
3258   75   56          -783 4
3259   76   56       -999.3 11
3260   77   56      -1282.4 10
3261   77   56      -1282.4 10
3262   77   56      -1282.4 10
3263   81   56       8671.5 19
3264   81   56      -2502.7 24
3265   82   56      9005.00 18
3266   83   56          -925 4
3267   84   56           736 8
3268   80   56        8594.1 3
3269   80   56     -2033.02 24
3270   89   56         -1744 9
3271   85   56           226 5
3272   86   56          -295 7
3273   87   56          -718 7
3274   88   56         -1206 8
3275   60   57      3.07E+3 20
3276   60   57      3.07E+3 20
3277   60   57      3.07E+3 20
3278   60   57      3.07E+3 20
3279   61   57        2.6E+3 3
3280   62   57        2.3E+3 3
3281   63   57        2.0E+3 3
3282   63   57        2.0E+3 3
3283   68   57        9.2E+2 3
3284   68   57       1.96E+3 3
3285   69   57       7.5E+2 10
3286   69   57       7.5E+2 10
3287   69   57       7.5E+2 10
3288   64   57        1.9E+3 3
3289   65   57        1.4E+3 3
3290   65   57        1.4E+3 3
3291   66   57      1.23E+3 20
3292   67   57       1.21E+3 6
3293   67   57       1.21E+3 6
3294   71   57        6.9E+2 6
3295   71   57        6.9E+2 6
3296   72   57          341 23
3297   72   57          341 23
3298   73   57        3.0E+2 3
3299   74   57         5.E+1 3
3300   70   57        7.2E+2 3
3301   70   57        7.2E+2 3
3302   70   57        7.2E+2 3
3303   79   57      -1.31E+3 5
3304   79   57      -1.31E+3 5
3305   75   57       -2.2E+2 4
3306   75   57       -2.2E+2 4
3307   75   57       -2.2E+2 4
3308   76   57       -4.2E+2 3
3309   77   57         -744 22
3310   78   57         -1013 9
3311   82   57        6249.5 7
3312   83   57       -398.1 20
3313   84   57          1191 4
3314   85   57          438 11
3315   80   57      -1494.8 16
3316   81   57       -2047.2 4
3317   81   57       -2047.2 4
3318   86   57           105 8
3319   87   57         -225 15
3320   88   57         -783 15
3321   89   57         -1132 7
3322   89   57         -1132 7
3323   93   57         -3426 4
3324   93   57         -3426 4
3325   94   57       -3.8E+3 4
3326   94   57       -3.8E+3 4
3327   95   57       -4.8E+3 3
3328   96   57       -5.2E+3 5
3329   90   57        -1428 13
3330   90   57        -1428 13
3331   91   57      -1.86E+3 3
3332   91   57      -1.86E+3 3
3333   92   57     -2.59E+3 20
3334   92   57     -2.59E+3 20
3335   97   57       -5.8E+3 5
3336   98   57       -6.1E+3 6
3337   99   57            0 0
3338   59   57       -1.6E+3 4
3339  100   57            0 0
3340  100   58       1.48E+4 5
3341  101   58            0 0
3342   61   58        2.7E+3 5
3343   62   58        2.2E+3 5
3344   63   58        2.3E+3 5
3345   63   58        2.3E+3 5
3346   64   58        1.9E+3 4
3347   64   58        1.9E+3 4
3348   69   58       1.25E+3 3
3349   69   58       1.25E+3 3
3350   65   58        1.9E+3 4
3351   65   58        1.9E+3 4
3352   66   58        1.5E+3 4
3353   67   58      1.66E+3 24
3354   67   58      1.66E+3 24
3355   68   58       1.36E+3 4
3356   72   58        8.2E+2 3
3357   73   58        6.8E+2 3
3358   73   58        6.8E+2 3
3359   73   58        6.8E+2 3
3360   74   58          476 20
3361   74   58          476 20
3362   75   58          218 19
3363   75   58          218 19
3364   75   58          218 19
3365   70   58       1.13E+3 3
3366   71   58        9.6E+2 3
3367   76   58            0 AP
3368   77   58         -362 10
3369   77   58         -362 10
3370   78   58       -498.6 11
3371   79   58       -790.2 11
3372   79   58       -790.2 11
3373   79   58       -790.2 11
3374   83   58       -134.6 13
3375   84   58       1304.0 25
3376   85   58        882.6 25
3377   86   58           411 8
3378   80   58       -1040.8 5
3379   80   58       -1040.8 5
3380   81   58      -1532.0 21
3381   81   58      -1532.0 21
3382   82   58       8140.8 13
3383   87   58        2.4E+2 3
3384   88   58         -209 16
3385   89   58         -502 11
3386   94   58     -3.86E+3 20
3387   95   58     -4.50E+3 20
3388   96   58     -4.75E+3 20
3389   97   58       -5.3E+3 5
3390   90   58        -1056 13
3391   91   58        -1579 13
3392   92   58        -2406 12
3393   93   58      -3.39E+3 3
3394   93   58      -3.39E+3 3
3395   98   58       -5.6E+3 5
3396   99   58       -5.9E+3 6
3397  100   59       -5.3E+3 6
3398  101   59       1.21E+4 6
3399  102   59            0 0
3400   85   59          1137 3
3401   85   59          1137 3
3402   85   59          1137 3
3403   84   59       1729.3 19
3404   87   59        9.3E+2 3
3405   86   59           879 8
3406   81   59      -1.07E+3 5
3407   80   59         -610 10
3408   83   59        302.1 16
3409   83   59        302.1 16
3410   83   59        302.1 16
3411   82   59       5229.3 12
3412   89   59         -111 20
3413   89   59         -111 20
3414   89   59         -111 20
3415   88   59          302 17
3416   90   59         -629 16
3417   96   59       -4.5E+3 4
3418   95   59     -3.97E+3 10
3419   98   59       -4.8E+3 3
3420   97   59       -4.6E+3 3
3421   92   59        -2526 16
3422   91   59         -1504 9
3423   94   59     -3.77E+3 20
3424   93   59      -3.47E+3 3
3425   99   59       -5.0E+3 4
3426   63   59        2.4E+3 6
3427   62   59        2.3E+3 5
3428   65   59        2.0E+3 5
3429   65   59        2.0E+3 5
3430   64   59        2.4E+3 5
3431   67   59        1.8E+3 4
3432   67   59        1.8E+3 4
3433   66   59        1.7E+3 4
3434   66   59        1.7E+3 4
3435   69   59       1.50E+3 6
3436   68   59        1.7E+3 3
3437   74   59          961 25
3438   74   59          961 25
3439   73   59        9.7E+2 6
3440   76   59        4.1E+2 3
3441   75   59        6.7E+2 3
3442   75   59        6.7E+2 3
3443   70   59       1.56E+3 4
3444   72   59       1.17E+3 5
3445   72   59       1.17E+3 5
3446   72   59       1.17E+3 5
3447   71   59      1.37E+3 11
3448   71   59      1.37E+3 11
3449   71   59      1.37E+3 11
3450   78   59       -1.3E+2 3
3451   77   59        -4.E+1 4
3452   79   59         -335 22
3453   79   59         -335 22
3454  103   60            0 0
3455  101   60       -4.7E+3 6
3456  101   60       -4.7E+3 6
3457  102   60       1.38E+4 6
3458  100   60       -4.3E+3 3
3459  100   60       -4.3E+3 3
3460   74   60       1.35E+3 3
3461   73   60       1.53E+3 5
3462   73   60       1.53E+3 5
3463   73   60       1.53E+3 5
3464   72   60       1.68E+3 4
3465   71   60       1.79E+3 4
3466   71   60       1.79E+3 4
3467   70   60       1.80E+3 4
3468   79   60        1.7E+2 3
3469   79   60        1.7E+2 3
3470   79   60        1.7E+2 3
3471   78   60          391 23
3472   77   60          409 20
3473   77   60          409 20
3474   76   60          844 24
3475   75   60       1.07E+3 4
3476   75   60       1.07E+3 4
3477   75   60       1.07E+3 4
3478   85   60       7970.4 24
3479   84   60       1901.3 15
3480   83   60       7504.9 14
3481   82   60       7224.5 14
3482   81   60          -698 3
3483   81   60          -698 3
3484   81   60          -698 3
3485   80   60          -174 3
3486   80   60          -174 3
3487   89   60        2.7E+2 3
3488   88   60         9253 16
3489   87   60       1034.7 22
3490   86   60          8589 7
3491   96   60     -3.65E+3 20
3492   95   60        -3484 20
3493   94   60        -3158 12
3494   93   60        -3085 11
3495   92   60      -2.18E+3 3
3496   91   60         -1354 9
3497   90   60         -479 15
3498   99   60       -4.4E+3 3
3499   99   60       -4.4E+3 3
3500   98   60     -4.04E+3 20
3501   97   60     -4.01E+3 20
3502   69   60        1.9E+3 3
3503   69   60        1.9E+3 3
3504   69   60        1.9E+3 3
3505   69   60        1.9E+3 3
3506   69   60        1.9E+3 3
3507   68   60        2.0E+3 4
3508   68   60        2.0E+3 4
3509   67   60        2.0E+3 4
3510   67   60        2.0E+3 4
3511   66   60        2.1E+3 5
3512   66   60        2.1E+3 5
3513   65   60        2.2E+3 6
3514   65   60        2.2E+3 6
3515   64   60        2.5E+3 7
3516   69   61        2.4E+3 3
3517   69   61        2.4E+3 3
3518   68   61        2.5E+3 4
3519   68   61        2.5E+3 4
3520   68   61        2.5E+3 4
3521   67   61        2.5E+3 5
3522   67   61        2.5E+3 5
3523   67   61        2.5E+3 5
3524   66   61        2.5E+3 6
3525   66   61        2.5E+3 6
3526   65   61        2.6E+3 7
3527   75   61       1.63E+3 7
3528   75   61       1.63E+3 7
3529   74   61      1.81E+3 10
3530   74   61      1.81E+3 10
3531   73   61       1.99E+3 8
3532   73   61       1.99E+3 8
3533   72   61       1.94E+3 6
3534   72   61       1.94E+3 6
3535   72   61       1.94E+3 6
3536   71   61      2.28E+3 15
3537   71   61      2.28E+3 15
3538   70   61        2.3E+3 3
3539   79   61        7.0E+2 3
3540   79   61        7.0E+2 3
3541   78   61         1010 18
3542   78   61         1010 18
3543   78   61         1010 18
3544   77   61         1189 23
3545   77   61         1189 23
3546   76   61         1440 18
3547   86   61       1601.3 15
3548   85   61          1907 4
3549   85   61          1907 4
3550   84   61          2322 3
3551   84   61          2322 3
3552   83   61           845 7
3553   82   61          -557 5
3554   81   61       -4.4E+2 3
3555   81   61       -4.4E+2 3
3556   80   61          254 16
3557   89   61        6.5E+2 4
3558   88   61          1137 7
3559   87   61          1460 6
3560   87   61          1460 6
3561   87   61          1460 6
3562   97   61     -3.67E+3 10
3563   96   61        -3154 14
3564   95   61        -2834 19
3565   94   61        -2585 13
3566   93   61      -2.39E+3 3
3567   93   61      -2.39E+3 3
3568   92   61        -2034 13
3569   91   61      -1.14E+3 3
3570   91   61      -1.14E+3 3
3571   91   61      -1.14E+3 3
3572   91   61      -1.14E+3 3
3573   90   61         -367 16
3574   99   61      -3870.2 23
3575   99   61      -3870.2 23
3576   98   61        -3564 20
3577  104   61            0 0
3578  100   61        -4077 10
3579  100   61        -4077 10
3580  101   61       -4.3E+3 4
3581  101   61       -4.3E+3 4
3582  102   61       -4.6E+3 6
3583  102   61       -4.6E+3 6
3584  103   61       1.16E+4 6
3585   66   62        3.3E+3 7
3586   66   62        3.3E+3 7
3587   67   62        3.3E+3 6
3588   67   62        3.3E+3 6
3589   68   62        3.3E+3 5
3590   69   62        3.2E+3 5
3591   69   62        3.2E+3 5
3592   77   62         1408 22
3593   77   62         1408 22
3594   77   62         1408 22
3595   78   62         1318 17
3596   79   62         1225 15
3597   79   62         1225 15
3598   79   62         1225 15
3599   70   62        3.0E+3 4
3600   70   62        3.0E+3 4
3601   71   62        2.7E+3 4
3602   71   62        2.7E+3 4
3603   71   62        2.7E+3 4
3604   71   62        2.7E+3 4
3605   71   62        2.7E+3 4
3606   72   62      2.80E+3 20
3607   73   62      2.49E+3 16
3608   73   62      2.49E+3 16
3609   74   62       2.19E+3 3
3610   75   62       1.92E+3 5
3611   76   62         1724 17
3612   88   62       8275.9 19
3613   89   62       1145.4 10
3614   80   62          610 12
3615   81   62         7.E+1 3
3616   81   62         7.E+1 3
3617   81   62         7.E+1 3
3618   81   62         7.E+1 3
3619   82   62          6294 3
3620   83   62          1115 3
3621   84   62          2529 3
3622   85   62        2311.3 5
3623   86   62        1987.0 4
3624   87   62          7559 6
3625  102   62      -3.63E+3 5
3626  102   62      -3.63E+3 5
3627  101   62      -3.30E+3 3
3628  100   62         -2969 4
3629  106   62            0 0
3630  105   62            0 0
3631  104   62       1.31E+4 6
3632  103   62       -3.7E+3 6
3633  103   62       -3.7E+3 6
3634   99   62         -2603 7
3635   90   62          8666 5
3636   91   62       -609.4 19
3637   91   62       -609.4 19
3638   92   62          9097 9
3639   93   62      -1672.9 11
3640   94   62      -1.64E+3 3
3641   95   62         -1772 5
3642   96   62         -2097 5
3643   97   62        -2349 11
3644   98   62      -2456.0 24
3645  107   63            0 0
3646  106   63       1.13E+4 6
3647  101   63         -2762 3
3648  100   63        -2444 10
3649  103   63       -3.1E+3 3
3650  103   63       -3.1E+3 3
3651  102   63        -3067 10
3652  105   63       -3.3E+3 6
3653  105   63       -3.3E+3 6
3654  104   63       -3.2E+3 6
3655  104   63       -3.2E+3 6
3656   67   63        3.8E+3 7
3657   68   63        3.4E+3 6
3658   68   63        3.4E+3 6
3659   69   63        3.6E+3 5
3660   69   63        3.6E+3 5
3661   78   63         1722 18
3662   78   63         1722 18
3663   78   63         1722 18
3664   79   63       1.18E+3 3
3665   79   63       1.18E+3 3
3666   70   63        3.5E+3 4
3667   71   63        3.2E+3 4
3668   71   63        3.2E+3 4
3669   72   63        3.2E+3 3
3670   72   63        3.2E+3 3
3671   73   63      2.96E+3 25
3672   73   63      2.96E+3 25
3673   73   63      2.96E+3 25
3674   73   63      2.96E+3 25
3675   74   63       2.84E+3 5
3676   75   63       2.59E+3 5
3677   76   63       2.24E+3 8
3678   77   63       1.76E+3 9
3679   77   63       1.76E+3 9
3680   77   63       1.76E+3 9
3681   89   63          1552 6
3682   89   63          1552 6
3683   89   63          1552 6
3684   89   63          1552 6
3685   89   63          1552 6
3686   80   63          835 17
3687   81   63        1.7E+2 3
3688   82   63          106 14
3689   83   63         1599 24
3690   84   63          2991 3
3691   84   63          2991 3
3692   85   63         2694 10
3693   85   63         2694 10
3694   85   63         2694 10
3695   86   63          2401 5
3696   87   63          2237 7
3697   87   63          2237 7
3698   87   63          2237 7
3699   87   63          2237 7
3700   88   63       1964.0 11
3701   90   63        5893.5 7
3702   91   63         -566 20
3703   91   63         -566 20
3704   91   63         -566 20
3705   92   63          -857 5
3706   93   63      -1.25E+3 3
3707   94   63        -1236 10
3708   95   63      -1.43E+3 3
3709   96   63         -1528 6
3710   97   63      -1751.5 15
3711   98   63        -1919 13
3712   99   63      -2041.7 16
3713   69   64        1.1E+3 6
3714   79   64      1.72E+3 20
3715   79   64      1.72E+3 20
3716   70   64        3.7E+3 6
3717   72   64        3.6E+3 4
3718   71   64        3.6E+3 6
3719   71   64        3.6E+3 6
3720   74   64        3.3E+3 3
3721   73   64        3.6E+3 4
3722   73   64        3.6E+3 4
3723   76   64       2.60E+3 3
3724   75   64      2.80E+3 25
3725   75   64      2.80E+3 25
3726   75   64      2.80E+3 25
3727   75   64      2.80E+3 25
3728   78   64       2.11E+3 3
3729   77   64       2.34E+3 3
3730   77   64       2.34E+3 3
3731   77   64       2.34E+3 3
3732   77   64       2.34E+3 3
3733   81   64          582 21
3734   81   64          582 21
3735   81   64          582 21
3736   80   64       1.27E+3 3
3737   83   64       1735.3 20
3738   82   64           471 4
3739   85   64          3099 3
3740   85   64          3099 3
3741   84   64       3271.29 3
3742   87   64          2652 3
3743   87   64          2652 3
3744   86   64          2807 6
3745   89   64        1828.0 7
3746   88   64       2203.8 10
3747   90   64        7627.9 7
3748   92   64        8006.0 9
3749   91   64        7620.9 8
3750   91   64          81.3 7
3751   94   64          8520 4
3752   93   64          8030 3
3753   96   64         -1006 9
3754   95   64        -795.6 9
3755   98   64         -1454 6
3756   97   64         -1253 5
3757   99   64         -1606 6
3758  104   64       -2.6E+3 3
3759  103   64         -2601 9
3760  102   64         -2417 4
3761  102   64         -2417 4
3762  101   64         -2279 7
3763  100   64      -1885.4 22
3764  108   64            0 0
3765  107   64       1.26E+4 7
3766  106   64       -2.8E+3 6
3767  105   64       -2.8E+3 6
3768  101   65      -1510.7 20
3769  100   65        -1222 11
3770  103   65         -1974 5
3771  102   65      -1734.2 21
3772  109   65            0 0
3773  108   65       1.08E+4 6
3774  105   65       -2.4E+3 3
3775  104   65       -2.2E+3 3
3776  107   65       -2.9E+3 6
3777  107   65       -2.9E+3 6
3778  106   65       -2.4E+3 6
3779  106   65       -2.4E+3 6
3780   80   65      1.10E+3 11
3781   80   65      1.10E+3 11
3782   82   65         1074 14
3783   82   65         1074 14
3784   81   65       1.12E+3 5
3785   81   65       1.12E+3 5
3786   81   65       1.12E+3 5
3787   84   65       4078.0 22
3788   84   65       4078.0 22
3789   84   65       4078.0 22
3790   84   65       4078.0 22
3791   83   65         2657 16
3792   83   65         2657 16
3793   86   65          3496 4
3794   86   65          3496 4
3795   86   65          3496 4
3796   86   65          3496 4
3797   85   65          3587 5
3798   85   65          3587 5
3799   85   65          3587 5
3800   88   65          2703 5
3801   87   65       3.16E+3 4
3802   87   65       3.16E+3 4
3803   87   65       3.16E+3 4
3804   87   65       3.16E+3 4
3805   89   65       2.21E+3 5
3806   89   65       2.21E+3 5
3807   89   65       2.21E+3 5
3808   89   65       2.21E+3 5
3809   89   65       2.21E+3 5
3810   89   65       2.21E+3 5
3811   89   65       2.21E+3 5
3812   91   65           373 4
3813   91   65           373 4
3814   91   65           373 4
3815   91   65           373 4
3816   90   65          978 10
3817   93   65       -157.4 12
3818   93   65       -157.4 12
3819   93   65       -157.4 12
3820   93   65       -157.4 12
3821   93   65       -157.4 12
3822   93   65       -157.4 12
3823   92   65         178.7 8
3824   95   65          -179 3
3825   94   65        6131.6 7
3826   97   65         -1034 3
3827   96   65          -428 4
3828   99   65      -1036.5 21
3829   98   65          -977 6
3830   71   65        3.9E+3 6
3831   70   65        4.0E+3 6
3832   73   65        3.8E+3 4
3833   73   65        3.8E+3 4
3834   72   65        3.8E+3 5
3835   72   65        3.8E+3 5
3836   75   65        3.3E+3 8
3837   75   65        3.3E+3 8
3838   74   65        3.6E+3 4
3839   74   65        3.6E+3 4
3840   77   65        2.8E+3 7
3841   77   65        2.8E+3 7
3842   77   65        2.8E+3 7
3843   76   65      3.18E+3 11
3844   76   65      3.18E+3 11
3845   79   65       2.19E+3 6
3846   79   65       2.19E+3 6
3847   79   65       2.19E+3 6
3848   78   65       2.55E+3 5
3849   78   65       2.55E+3 5
3850   72   66        4.2E+3 6
3851   75   66        3.4E+3 4
3852   75   66        3.4E+3 4
3853   76   66        3.1E+3 8
3854   76   66        3.1E+3 8
3855   73   66        4.1E+3 6
3856   73   66        4.1E+3 6
3857   74   66        3.8E+3 5
3858   79   66         2557 21
3859   79   66         2557 21
3860   79   66         2557 21
3861   79   66         2557 21
3862   77   66      3.04E+3 20
3863   77   66      3.04E+3 20
3864   77   66      3.04E+3 20
3865   77   66      3.04E+3 20
3866   78   66       2.79E+3 3
3867   78   66       2.79E+3 3
3868   82   66       1.48E+3 3
3869   83   66         2808 22
3870   83   66         2808 22
3871   83   66         2808 22
3872   80   66       1.98E+3 3
3873   80   66       1.98E+3 3
3874   81   66      1.61E+3 20
3875   81   66      1.61E+3 20
3876   81   66      1.61E+3 20
3877   81   66      1.61E+3 20
3878   86   66          3727 4
3879   86   66          3727 4
3880   87   66          3559 4
3881   87   66          3559 4
3882   84   66       4351.3 15
3883   84   66       4351.3 15
3884   85   66          4180 3
3885   85   66          4180 3
3886   88   66          2945 5
3887   89   66         2608 10
3888   90   66         6568 10
3889   93   66        478.2 13
3890   94   66       7428.8 11
3891   91   66          1033 5
3892   91   66          1033 5
3893   92   66       6932.3 24
3894   97   66       7790.3 22
3895   98   66          8661 4
3896   95   66       7508.0 11
3897   96   66       8008.4 12
3898   99   66       -531.1 15
3899   99   66       -531.1 15
3900   99   66       -531.1 15
3901  110   66            0 0
3902  102   66     -1.29E+3 14
3903  101   66          -948 4
3904  100   66          -729 4
3905  106   66       -2.0E+3 4
3906  105   66     -1.66E+3 20
3907  104   66     -1.76E+3 20
3908  104   66     -1.76E+3 20
3909  103   66       -1.5E+3 3
3910  109   66       1.20E+4 7
3911  108   66       1.19E+4 7
3912  107   66       -2.3E+3 6
3913   73   67        4.2E+3 7
3914   76   67        3.7E+3 4
3915   76   67        3.7E+3 4
3916   77   67        3.4E+3 8
3917   77   67        3.4E+3 8
3918   74   67        4.2E+3 6
3919   75   67        3.9E+3 5
3920   75   67        3.9E+3 5
3921   78   67      3.00E+3 11
3922   79   67        2.9E+3 7
3923   80   67       2.24E+3 5
3924   83   67       3.39E+3 5
3925   83   67       3.39E+3 5
3926   83   67       3.39E+3 5
3927   84   67       4695.0 18
3928   84   67       4695.0 18
3929   84   67       4695.0 18
3930   84   67       4695.0 18
3931   81   67       1.95E+3 9
3932   81   67       1.95E+3 9
3933   81   67       1.95E+3 9
3934   81   67       1.95E+3 9
3935   82   67      2.33E+3 11
3936   82   67      2.33E+3 11
3937   87   67          4041 4
3938   87   67          4041 4
3939   87   67          4041 4
3940   87   67          4041 4
3941   88   67         3159 18
3942   88   67         3159 18
3943   85   67       4507.4 13
3944   85   67       4507.4 13
3945   85   67       4507.4 13
3946   85   67       4507.4 13
3947   86   67          4052 4
3948   86   67          4052 4
3949   86   67          4052 4
3950   86   67          4052 4
3951   89   67       2.75E+3 6
3952   89   67       2.75E+3 6
3953   89   67       2.75E+3 6
3954   89   67       2.75E+3 6
3955   90   67         2056 24
3956   91   67       1.54E+3 5
3957   91   67       1.54E+3 5
3958   91   67       1.54E+3 5
3959   91   67       1.54E+3 5
3960   91   67       1.54E+3 5
3961   94   67       1142.6 23
3962   94   67       1142.6 23
3963   95   67          1005 3
3964   95   67          1005 3
3965   95   67          1005 3
3966   92   67         1496 10
3967   92   67         1496 10
3968   93   67         1284 15
3969   93   67         1284 15
3970   93   67         1284 15
3971   93   67         1284 15
3972   98   67        6219.3 7
3973   99   67        384.3 22
3974   99   67        384.3 22
3975   96   67        729.6 11
3976   96   67        729.6 11
3977   97   67        431.0 17
3978   97   67        431.0 17
3979   97   67        431.0 17
3980  101   67       -3.8E+2 3
3981  101   67       -3.8E+2 3
3982  101   67       -3.8E+2 3
3983  100   67          -109 7
3984  103   67       -8.5E+2 5
3985  103   67       -8.5E+2 5
3986  102   67         -632 20
3987  105   67     -1.13E+3 20
3988  104   67       -1.1E+3 6
3989  107   67       -1.6E+3 4
3990  106   67       -1.3E+3 4
3991  109   67       -2.1E+3 7
3992  108   67       -2.0E+3 6
3993  110   67       1.00E+4 7
3994  111   67            0 0
3995  108   68       -1.3E+3 5
3996  107   68       -1.1E+3 4
3997  106   68        -7.E+2 4
3998  105   68        -5.E+2 4
3999  104   68      -3.5E+2 14
4000  103   68          -231 4
4001  102   68         8600 20
4002  101   68         266.2 7
4003  100   68          7999 5
4004  109   68       -1.5E+3 6
4005  112   68            0 0
4006  111   68       1.12E+4 7
4007  110   68       -1.6E+3 8
4008   74   68         9.E+2 6
4009   78   68        3.4E+3 7
4010   78   68        3.4E+3 7
4011   77   68        3.7E+3 4
4012   77   68        3.7E+3 4
4013   77   68        3.7E+3 4
4014   76   68        3.8E+3 4
4015   75   68        4.1E+3 6
4016   79   68       3.14E+3 4
4017   79   68       3.14E+3 4
4018   79   68       3.14E+3 4
4019   79   68       3.14E+3 4
4020   81   68       2.08E+3 3
4021   81   68       2.08E+3 3
4022   81   68       2.08E+3 3
4023   81   68       2.08E+3 3
4024   81   68       2.08E+3 3
4025   80   68         2666 13
4026   85   68       4802.4 14
4027   85   68       4802.4 14
4028   84   68       4934.3 16
4029   84   68       4934.3 16
4030   83   68         3505 19
4031   83   68         3505 19
4032   83   68         3505 19
4033   82   68         2299 18
4034   89   68       3.30E+3 3
4035   89   68       3.30E+3 3
4036   88   68       3.48E+3 3
4037   88   68       3.48E+3 3
4038   87   68          4118 5
4039   87   68          4118 5
4040   86   68          4280 3
4041   86   68          4280 3
4042   92   68         2040 24
4043   91   68         2170 10
4044   90   68       2.67E+3 3
4045   96   68      6853.52 13
4046   95   68          1575 5
4047   94   68       6426.9 22
4048   93   68         1798 10
4049   99   68        7507.9 8
4050   99   68         666.7 7
4051   98   68        7315.1 8
4052   97   68        1109.2 6
4053   75   69        4.7E+3 6
4054   79   69         3420 13
4055   78   69        3.6E+3 3
4056   78   69        3.6E+3 3
4057   78   69        3.6E+3 3
4058   77   69        3.8E+3 4
4059   77   69        3.8E+3 4
4060   77   69        3.8E+3 4
4061   77   69        3.8E+3 4
4062   76   69        4.4E+3 4
4063   82   69         2561 20
4064   82   69         2561 20
4065   81   69      2.32E+3 20
4066   81   69      2.32E+3 20
4067   80   69      2.76E+3 20
4068   80   69      2.76E+3 20
4069   86   69          4572 5
4070   86   69          4572 5
4071   86   69          4572 5
4072   86   69          4572 5
4073   85   69          5094 3
4074   85   69          5094 3
4075   85   69          5094 3
4076   85   69          5094 3
4077   85   69          5094 3
4078   84   69       5248.3 15
4079   84   69       5248.3 15
4080   84   69       5248.3 15
4081   84   69       5248.3 15
4082   83   69      3.85E+3 10
4083   83   69      3.85E+3 10
4084   89   69       3.51E+3 3
4085   89   69       3.51E+3 3
4086   88   69       3.88E+3 3
4087   87   69          4345 7
4088   87   69          4345 7
4089   93   69       2.28E+3 4
4090   93   69       2.28E+3 4
4091   93   69       2.28E+3 4
4092   92   69       2.51E+3 4
4093   91   69       2.81E+3 5
4094   91   69       2.81E+3 5
4095   91   69       2.81E+3 5
4096   90   69       3.04E+3 3
4097   97   69         1729 12
4098   97   69         1729 12
4099   96   69          1841 3
4100   95   69       2.05E+3 3
4101   95   69       2.05E+3 3
4102   95   69       2.05E+3 3
4103   94   69          2176 6
4104   99   69       1243.2 21
4105   99   69       1243.2 21
4106   98   69       1410.0 14
4107  109   69        -8.E+2 4
4108  108   69        -6.E+2 4
4109  105   69            0 AP
4110  105   69            0 AP
4111  105   69            0 AP
4112  104   69          115 21
4113  107   69      -3.1E+2 22
4114  106   69            0 AP
4115  101   69        850.1 10
4116  101   69        850.1 10
4117  100   69        5574.4 8
4118  103   69        2.6E+2 3
4119  102   69           644 5
4120  112   69       -1.6E+3 7
4121  111   69       -1.2E+3 6
4122  113   69            0 0
4123  110   69       -1.0E+3 6
4124   79   70        3.5E+3 4
4125   79   70        3.5E+3 4
4126   78   70        4.0E+3 4
4127   89   70         3951 18
4128   86   70          4810 4
4129   86   70          4810 4
4130   85   70       5338.8 21
4131   85   70       5338.8 21
4132   88   70          4170 7
4133   88   70          4170 7
4134   87   70          4622 6
4135   87   70          4622 6
4136   82   70      2.78E+3 15
4137   82   70      2.78E+3 15
4138   81   70        2.6E+3 3
4139   81   70        2.6E+3 3
4140   81   70        2.6E+3 3
4141   81   70        2.6E+3 3
4142   81   70        2.6E+3 3
4143   84   70       5474.3 17
4144   84   70       5474.3 17
4145   83   70      4.16E+3 20
4146   83   70      4.16E+3 20
4147   83   70      4.16E+3 20
4148   80   70        3.1E+3 3
4149   97   70          2153 6
4150   96   70          2316 7
4151   99   70        1720.9 9
4152   99   70        1720.9 9
4153   98   70       6325.7 13
4154   93   70         2842 16
4155   92   70       3.06E+3 3
4156   95   70       2.48E+3 3
4157   94   70       2.63E+3 3
4158   91   70       3.15E+3 3
4159   90   70       3.62E+3 3
4160  101   70        6800.5 7
4161  101   70        1557.5 3
4162  100   70        6778.2 7
4163  112   70       -1.1E+3 7
4164  111   70        -7.E+2 6
4165  110   70        -5.E+2 5
4166  105   70        597.3 14
4167  105   70        597.3 14
4168  104   70          7977 4
4169  103   70          7467 5
