        n    z      alpha(keV)
347    27   12            0 0
348     8   12        -8934 21
349     8   12        -8934 21
350     7   12     -1.080E+4 9
351    29   12            0 0
352     9   13       -9.3E+3 4
353     9   13       -9.3E+3 4
354     9   13       -9.3E+3 4
355     9   13       -9.3E+3 4
356     8   13      -1.01E+4 6
357    22   13       -14895 16
358    22   13       -14895 16
359    22   13       -14895 16
360    23   13    -1.511E+4 15
361    23   13    -1.511E+4 15
362    23   13    -1.511E+4 15
363    23   13    -1.511E+4 15
364    20   13       -13602 10
365    20   13       -13602 10
366    21   13        -13897 5
367    21   13        -13897 5
368    21   13        -13897 5
369    26   13      -1.88E+4 7
370    26   13      -1.88E+4 7
371    26   13      -1.88E+4 7
372    26   13      -1.88E+4 7
373    27   13      -1.95E+4 8
374    27   13      -1.95E+4 8
375    27   13      -1.95E+4 8
376    27   13      -1.95E+4 8
377    24   13      -1.64E+4 5
378    24   13      -1.64E+4 5
379    24   13      -1.64E+4 5
380    24   13      -1.64E+4 5
381    25   13      -1.76E+4 6
382    25   13      -1.76E+4 6
383    25   13      -1.76E+4 6
384    25   13      -1.76E+4 6
385    28   13      -2.10E+4 8
386    28   13      -2.10E+4 8
387    28   13      -2.10E+4 8
388    28   13      -2.10E+4 8
389    29   13      -2.23E+4 9
390    29   13      -2.23E+4 9
391    29   13      -2.23E+4 9
392    29   13      -2.23E+4 9
393    30   13     -2.41E+4 10
394    30   13     -2.41E+4 10
395    30   13     -2.41E+4 10
396    30   13     -2.41E+4 10
397    11   13      -9324.2 11
398    11   13      -9324.2 11
399    11   13      -9324.2 11
400    11   13      -9324.2 11
401    11   13      -9324.2 11
402    11   13      -9324.2 11
403    12   13      -9156.03 8
404    10   13        -8606 11
405    10   13        -8606 11
406    15   13     -10857.73 5
407    16   13     -11274.9 12
408    13   13     -9453.66 15
409    13   13     -9453.66 15
410    14   13       8271.29 6
411    19   13       -12536 13
412    19   13       -12536 13
413    17   13        -11428 4
414    18   13        -11858 4
415    18   13        -11858 4
416    30   14      -2.27E+4 7
417    30   14      -2.27E+4 7
418    30   14      -2.27E+4 7
419    30   14      -2.27E+4 7
420    31   14            0 0
421    12   14     -9165.93 19
422    13   14     -9335.75 11
423    10   14        -9157 20
424    10   14        -9157 20
425    11   14        -9501 10
426    11   14        -9501 10
427    16   14       13514.2 3
428    17   14     -10787.36 6
429    14   14      11584.90 5
430    15   14      12333.33 5
431    18   14      -11482.7 4
432    19   14      -12326.9 8
433    23   14    -1.396E+4 11
434    23   14    -1.396E+4 11
435    23   14    -1.396E+4 11
436    24   14    -1.492E+4 11
437    24   14    -1.492E+4 11
438    21   14     -1.369E+4 4
439    21   14     -1.369E+4 4
440    22   14     -1.403E+4 7
441    22   14     -1.403E+4 7
442    27   14      -1.74E+4 8
443    27   14      -1.74E+4 8
444    27   14      -1.74E+4 8
445    27   14      -1.74E+4 8
446    28   14      -1.97E+4 6
447    28   14      -1.97E+4 6
448    28   14      -1.97E+4 6
449    28   14      -1.97E+4 6
450    25   14      -1.57E+4 3
451    25   14      -1.57E+4 3
452    25   14      -1.57E+4 3
453    26   14      -1.71E+4 7
454    26   14      -1.71E+4 7
455    26   14      -1.71E+4 7
456    26   14      -1.71E+4 7
457    20   14     -13535.2 15
458    29   14      -2.09E+4 7
459    29   14      -2.09E+4 7
460    29   14      -2.09E+4 7
461    29   14      -2.09E+4 7
462     9   14      -1.03E+4 5
463     9   14      -1.03E+4 5
464     9   14      -1.03E+4 5
465     8   14            0 0
466     8   14            0 0
467    25   15    -1.651E+4 17
468    25   15    -1.651E+4 17
469    25   15    -1.651E+4 17
470    24   15    -1.498E+4 11
471    24   15    -1.498E+4 11
472    23   15     -1.405E+4 7
473    23   15     -1.405E+4 7
474    22   15     -1.292E+4 4
475    22   15     -1.292E+4 4
476    29   15      -2.01E+4 5
477    29   15      -2.01E+4 5
478    29   15      -2.01E+4 5
479    29   15      -2.01E+4 5
480    28   15      -1.89E+4 4
481    28   15      -1.89E+4 4
482    28   15      -1.89E+4 4
483    28   15      -1.89E+4 4
484    27   15    -1.780E+4 18
485    27   15    -1.780E+4 18
486    27   15    -1.780E+4 18
487    26   15    -1.721E+4 22
488    26   15    -1.721E+4 22
489    26   15    -1.721E+4 22
490    21   15       -11577 15
491    21   15       -11577 15
492    20   15        -12332 3
493    32   15            0 0
494    31   15      -2.16E+4 7
495    31   15      -2.16E+4 7
496    31   15      -2.16E+4 7
