z,n,levelEnergy(MeV),spinAndParity,massExcess(keV),halflife,decayMode,betaMinus(keV),electronCapture(keV),positronEmission(keV),neutronSeparationEnergy(keV),protonSeparationEnergy(keV),alpha(keV),deltaAlpha(keV),twoNeutronSeparationEnergy(keV),twoProtonSeparationEnergy(keV),doubleBetaMinus(keV),doubleElectronCapture(keV),electronCaptureOneProtonEmission(keV),betaMinusOneNeutronEmission(keV),betaMinusTwoNeutronEmission(keV),bindingEnergy(keV),bindingEnergyLDMFit(keV),pairingGap(keV),firstExcitedStateEnergy(keV),firstTwoPlusEnergy(keV),firstThreeMinusEnergy(keV),firstFourPlusEnergy(keV),firstFourPlusOverFirstTwoPlusEnergy,quadrupoleDeformation,BE4DBE2,thermalNeutronCapture(Barns),thermalNeutronFission(Barns),FY235U,FY239Pu,FY252Cf,
3,7,0.0,(1-:2-),33053 13,,N = 100.00,20445 13,-1.614E+4 9,-1.717E+4 9,-26 13,1.517E+4 5,-1.12E+4 3,-2.8E+2 13,4036 13,,21002 13,,,13633 13,11968 18,4531.4 13,-1301.2 13,211 9,210 40,,,,,,,,,,,
3,8,0.0,3/2-,40728.3 6,8.75 ms 14,B- = 100.00,20551.1 7,,,396 13,1.576E+4 9,-1.08E+4 10,-1.7E+3 5,369.3 6,,32060.6 6,,,20049.5 6,13237.2 9,4155.38 6,-1335.98 6,303 16,1266 42,,,,,,,,,,,
3,8,0.0,3/2-,40728.3 6,8.75 ms 14,BN = 86.60,20551.1 7,,,396 13,1.576E+4 9,-1.08E+4 10,-1.7E+3 5,369.3 6,,32060.6 6,,,20049.5 6,13237.2 9,4155.38 6,-1335.98 6,303 16,1266 42,,,,,,,,,,,
3,8,0.0,3/2-,40728.3 6,8.75 ms 14,B2N = 4.20,20551.1 7,,,396 13,1.576E+4 9,-1.08E+4 10,-1.7E+3 5,369.3 6,,32060.6 6,,,20049.5 6,13237.2 9,4155.38 6,-1335.98 6,303 16,1266 42,,,,,,,,,,,
3,8,0.0,3/2-,40728.3 6,8.75 ms 14,B3N = 1.90,20551.1 7,,,396 13,1.576E+4 9,-1.08E+4 10,-1.7E+3 5,369.3 6,,32060.6 6,,,20049.5 6,13237.2 9,4155.38 6,-1335.98 6,303 16,1266 42,,,,,,,,,,,
3,8,0.0,3/2-,40728.3 6,8.75 ms 14,BNA = 0.03,20551.1 7,,,396 13,1.576E+4 9,-1.08E+4 10,-1.7E+3 5,369.3 6,,32060.6 6,,,20049.5 6,13237.2 9,4155.38 6,-1335.98 6,303 16,1266 42,,,,,,,,,,,
3,9,,,4.901E+4 3,LT 10 ns ,N ? ,2.393E+4 3,,,-2.1E+2 3,,,,1.9E+2 3,,3.564E+4 3,,,2.076E+4 3,2.026E+4 4,3792 3,-2025 3,1.6E+2 4,130 25,,,,,,,,,,,
3,10,,,5.698E+4 7,,,,2.332E+4 7,,,1.0E+2 8,,,,-1.1E+2 7,,4.042E+4 7,,,2.383E+4 7,2.066E+4 10,3508 5,-2153 5,,,,,,,,,,,,,
4,1,,(1/2+),3.71E+4 20,,P  ,,2.55E+4 20,2.44E+4 20,,-4.5E+3 20,,,,-7.6E+3 20,,2.59E+4 20,2.74E+4 20,,,0 AP,-4.2E+3 4,,,,,,,,,,,,,
4,2,0.0,0+,18375 5,92 kev 6,P = 100.00,-2.89E+4 20,4288 5,3266 5,2.68E+4 20,5.9E+2 5,,,,-1372 5,,783 5,-145 21,,,4487.2 9,-1128.0 9,8.1E+3 10,1670 50,1670 50,,,,,,,,,,
4,2,0.0,0+,18375 5,92 kev 6,A = 100.00,-2.89E+4 20,4288 5,3266 5,2.68E+4 20,5.9E+2 5,,,,-1372 5,,783 5,-145 21,,,4487.2 9,-1128.0 9,8.1E+3 10,1670 50,1670 50,,,,,,,,,,
4,3,0.0,3/2-,15769.00 7,53.22 d 6,EC = 100.00,-1.191E+4 3,861.89 7,-160.10 7,10677 5,5606.85 7,-1587.14 7,-2978.69 6,3.75E+4 20,10040 20,,-10304 8,-9112.07 9,-3.96E+4 20,,5371.549 10,-69.776 10,4111 3,429.08 10,,,,,,,,,,,
