Z,N,Halflife,Alpha,DeltaAlpha,Intens,DeltaIntens
98,151,1.11E+10,5849.3,10,1.43,20
98,151,1.11E+10,5903.2,10,3.21,3
98,151,1.11E+10,5946,10,3.33,3
98,151,1.11E+10,5999.6,20,0.026,0
98,151,1.11E+10,6071.9,20,0.346,7
98,151,1.11E+10,6139.3,7,1.33,10
98,151,1.11E+10,6193.8,7,2.46,20
98,152,4.13E+08,5742,3,0.007,20
98,152,4.13E+08,5891,3,0.283,15
98,152,4.13E+08,5989.9,6,17.11,11
98,152,4.13E+08,6030.22,20,82.58,11
98,153,2.83E+10,5505,2,0.27,5
98,153,2.83E+10,5567,2,1,10
98,153,2.83E+10,5569,2,1,10
98,153,2.83E+10,5635,2,4.9,20
98,153,2.83E+10,5651,2,3.3,20
98,153,2.83E+10,5679.3,16,35.4,5
98,153,2.83E+10,5738,2,0.8,10
98,153,2.83E+10,5766,2,3.6,20
98,153,2.83E+10,5798,2,2.5,20
98,153,2.83E+10,5817,2,4,20
98,153,2.83E+10,5854,2,27.6,5
98,153,2.83E+10,5946,2,0.6,6
98,153,2.83E+10,6017,2,12.5,3
98,153,2.83E+10,6078,2,2.6,10
98,154,8.35E+07,5616,0,5.80E-05,6
98,154,8.35E+07,5826.3,0,0.00193816,0
98,154,8.35E+07,5976.6,0,0.24,12
98,154,8.35E+07,6075.64,11,14.5,9
98,154,8.35E+07,6118.1,4,81.5,4
98,155,1538784,5920,5,0.016,6
98,155,1538784,5980,4,0.29,4
98,156,5227200,5791,5,0.053,7
98,156,5227200,5833,5,0.257,18
99,144,23,7745,10,2.3,7
99,144,23,7893,10,43,5
99,144,23,7939,10,7,3
99,146,66,7654,6,1.2,5
99,146,66,7699,5,5.2,21
99,146,66,7730,1,32,8
99,146,66,7780,3,2,6
99,148,273,7213,5,0.14,5
99,148,273,7275,3,0.84,16
99,148,273,7323,1,6,7
99,149,1440,6848,14,0.023,20
99,149,1440,6879,5,0.16,4
99,149,1440,6907,5,0.07,3
99,150,6132,6716,12,0.04,3
99,150,6132,6776,2,0.53,11
99,152,118800,6410,3,0.017,7
99,152,118800,6422,3,0.015,7
99,152,118800,6452,3,0.017,7
99,152,118800,6462,3,0.047,19
99,152,118800,6492,3,0.41,16
99,153,4.08E+07,5943,4,0.031,12
99,153,4.08E+07,5985,4,0.039,12
99,153,4.08E+07,6017,4,0.094,24
99,153,4.08E+07,6051,3,0.8,7
99,153,4.08E+07,6109,5,0.094,24
99,153,4.08E+07,6156,5,0.031,3
99,153,4.08E+07,6181,5,0.062,23
99,153,4.08E+07,6215,5,0.078,23
99,153,4.08E+07,6239,3,0.44,4
99,153,4.08E+07,6265,3,0.59,6
99,153,4.08E+07,6298,5,0.031,3
99,153,4.08E+07,6374,5,0.055,23
99,153,4.08E+07,6424,5,0.35,4
99,153,4.08E+07,6461,3,0.2,3
99,153,4.08E+07,6482,3,1.71,8
99,153,4.08E+07,6498,5,0.24,3
99,153,4.08E+07,6562,3,10.6,4
99,153,4.08E+07,6632,3,62.6,18
99,155,141480,6280,3,5.10E-04,10
99,155,141480,6297,2,0.00154,20
99,155,141480,6325,2,0.007,7
99,155,141480,6357,2,0.0266,18
99,155,141480,6382,2,0.24,8
99,155,141480,6415,2,0.0058,7
99,155,141480,6455,3,3.80E-04,13
99,155,141480,6463,2,0.00198,23
99,155,141480,6469,4,2.60E-04,3
99,155,141480,6513,2,0.004,4
99,155,141480,6557,2,0.0186,14
99,155,141480,6591,4,0.0128,16
99,155,2.38E+07,6000,20,0.03,3
99,155,2.38E+07,6048,5,0.16,0
99,155,2.38E+07,6105,2,0.34,20
99,155,2.38E+07,6177,0,0.02,20
99,155,2.38E+07,6184,2,0.06,6
99,155,2.38E+07,6194,2,0.04,20
99,155,2.38E+07,6266,2,0.22,20
99,155,2.38E+07,6275,0,0.14,20
99,155,2.38E+07,6324,2,0.04,10
99,155,2.38E+07,6347,2,0.75,5
99,155,2.38E+07,6358.4,15,2.6,3
99,155,2.38E+07,6378,0,0.005,5
99,155,2.38E+07,6383,2,0.05,5
99,155,2.38E+07,6415.4,15,1.8,10
99,155,2.38E+07,6428.6,15,93.1,10
99,155,2.38E+07,6435,0,0.03,3
99,155,2.38E+07,6476,0,0.23,4
99,156,3438719.1,6213,0,0.2,0
99,156,3438719.1,6266.5,30,0.78,0
99,156,3438719.1,6401.4,17,7,0
100,146,1.1,8194,0,18,18
100,146,1.1,8237,15,74,19
100,147,5.1,8172,16,86,0
100,147,31,7824,18,64,0
100,148,34.5,7830,20,19,0
100,148,34.5,7870,20,76,0
100,150,1800,7396,15,15,3
100,150,1800,7435,11,75,3
100,151,19080,6580,3,0.0047,8
100,151,19080,6639,3,0.0101,13
100,151,19080,6682,4,0.0013,5
100,151,19080,6721,3,0.0079,9
100,151,19080,6763,3,0.0068,12
100,151,19080,6783,2,0.086,7
100,151,19080,6834,2,1.57,11
100,151,19080,6886,2,0.031,3
100,151,19080,6929,2,0.032,3
100,151,19080,7107,5,9.00E-04,11
100,151,19080,7185,3,0.0052,7
100,151,19080,7252,3,0.0167,19
100,151,19080,7306,3,0.027,3
100,152,91404,6759,3,0.023,5
100,152,91404,6904,2,0.97,4
100,152,91404,6998,2,15,20
100,152,91404,7039,2,84,5
100,153,259200,6487,0,0.036,5
100,153,259200,6541,5,0.18,5
100,153,259200,6630,4,0.31,7
100,153,259200,6650,4,0.29,5
100,153,259200,6673,3,2.8,3
100,153,259200,6846,3,1.01,10
100,153,259200,6867,0,0.108,14
100,153,259200,6901,4,1.18,11
100,153,259200,6943,3,5.1,4
100,153,259200,7023,4,0.8,8
100,153,259200,7083,4,0.16,3
100,154,11664,6898,3,0.0066,8
100,154,11664,7050,2,0.82,6
100,154,11664,7150,2,14.2,3
100,154,11664,7192,2,84.9,5
100,155,72252,6488,3,0.003,5
100,155,72252,6546,2,0.014,20
100,155,72252,6592,2,0.017,20
100,155,72252,6699,2,0.036,20
100,155,72252,6710,2,0.013,10
100,155,72252,6741,3,0.0012,4
100,155,72252,6763,2,0.016,20
100,155,72252,6807,2,0.11,6
100,155,72252,6814,3,0.002,5
100,155,72252,6836,2,0.008,10
100,155,72252,6873,2,0.008,10
100,155,72252,6892,2,0.62,10
100,155,72252,6918,2,0.017,20
100,155,72252,6953,2,0.022,4
100,155,72252,6963,2,5.04,6
100,155,72252,6983,2,0.13,10
100,155,72252,7022,2,93.4,3
100,155,72252,7080,2,0.4,3
100,155,72252,7103,2,0.09,9
100,155,72252,7127,2,0.07,7
100,156,9426,6870,2,1.13,17
100,156,9426,6915,2,7,3
100,157,8683200,6346,5,0.3,10
100,157,8683200,6441,3,2,20
100,157,8683200,6519.5,14,93.6,7
100,157,8683200,6622,0,0.6,6
100,157,8683200,6695,3,3.39,20
100,157,8683200,6752,3,0.58,6
101,147,7,8320,20,15,8
101,147,7,8360,30,5,3
101,148,23.8,8026,10,60,0
101,150,256.2,7550,1,10,0
101,154,1620,7274,5,0.4,11
101,154,1620,7327,4,7.4,19
101,154,1620,7714,8,0.08,3
101,154,1620,7752,8,0.08,3
101,155,4650,7142,5,2.09,15
101,155,4650,7207,2,6.7,4
101,155,4650,7247,5,0.24,5
101,155,4650,7642,8,0.2,5
101,155,4650,7676,8,0.24,5
101,156,19872,7014,6,0.49,11
101,156,19872,7074,1,14,0
101,156,19872,7260,2,0.03,10
101,156,19872,7303,2,0.038,11
101,156,19872,7336,3,0.02,14
101,156,19872,7361,7,0.015,15
101,156,19872,7403,6,0.04,3
101,156,19872,7440,2,0.054,14
101,157,4449600,6697,2,3.4,14
101,157,4449600,6718,2,65.8,13
101,157,4449600,6763,4,20.8,12
101,157,4449600,6788,2,9.9,10
101,157,4449600,6990,2,0.1,10
101,157,4449600,7080,2,0.1,10
101,157,4449600,7159,2,0.1,10
102,149,1.02,8668,16,98,10
102,149,1.02,8668,16,98,10
102,150,2.44,8372,8,17,18
102,150,2.44,8415,6,51,5
102,154,2.91,8402,8,12.9,20
102,154,2.91,8448,6,86.5,20
102,155,24.5,8222,6,71,13
102,155,24.5,8323,7,14,3
102,157,3480,7505,5,75,0
103,152,2.54,8322,0,2.8,8
103,152,2.54,8457,2,37,4
103,152,31.1,8290,5,1.7,6
103,152,31.1,8365,2,93,21
103,152,31.1,8420,10,2.5,25
103,154,4,8810,20,18,20
103,154,4,8870,20,82,20
103,155,3.92,8590,20,29,4
103,155,3.92,8620,20,46,3
103,155,3.92,8650,20,16,3
103,155,3.92,8680,20,6.8,20
104,153,4.1,8968,10,39,3
104,153,4.1,9021,10,49,3
104,155,2.4,8770,20,55,6
104,155,2.4,8870,20,37,4
104,157,2.1,8520,50,27,0
105,155,1.52,9042,14,50,5
105,155,1.52,9075,14,27,5
105,155,1.52,9121,17,18,3
106,154,0.00495,9720,30,5,3
106,154,0.00495,9750,10,24,4
106,159,8.5,8280,50,45,4
106,159,8.5,8520,50,4.4,4
107,153,0.035,1.02E+04,3,100,0
107,165,10.5,8.93E+03,1,25,0
107,165,10.5,9.07E+03,1,75,0
109,167,0.69,9.48E+03,0,5,0
109,167,0.69,9.53E+03,0,5,0
109,167,0.69,9600,10,80,0
109,167,0.69,9.90E+03,0,10,0
110,161,0.00163,10682,20,29,4
110,161,0.00163,10738,20,71,10
111,169,4.4,9280,20,10,0
111,169,4.4,9750,20,10,0
111,169,4.4,9770,10,60,0
111,169,4.4,9820,10,20,0
115,173,0.17,1.03E+04,1,100,0
