n	 z	 alphaE(keV)	 deltaAlphaE(keV)	 halflife(s)
7 11 -9350.0 10.0 1.3e-21
6 11 -3440.0 6.0 -1
21 11 -17190.0 13.0 0.0132
21 11 -17190.0 13.0 0.0132
21 11 -17190.0 13.0 0.0132
21 11 -17190.0 13.0 0.0132
20 11 -15310.0 12.0 0.0174
20 11 -15310.0 12.0 0.0174
20 11 -15310.0 12.0 0.0174
20 11 -15310.0 12.0 0.0174
23 11 -19700.0 8.0 0.005
23 11 -19700.0 8.0 0.005
23 11 -19700.0 8.0 0.005
23 11 -19700.0 8.0 0.005
22 11 -18800.0 7.0 0.0081
22 11 -18800.0 7.0 0.0081
22 11 -18800.0 7.0 0.0081
22 11 -18800.0 7.0 0.0081
25 11 0.0 0.0 -1
24 11 -21400.0 9.0 0.0018000000000000002
24 11 -21400.0 9.0 0.0018000000000000002
24 11 -21400.0 9.0 0.0018000000000000002
24 11 -21400.0 9.0 0.0018000000000000002
27 11 0.0 0.0 -1
26 11 0.0 0.0 -1
26 11 0.0 0.0 -1
26 11 0.0 0.0 -1
26 11 0.0 0.0 -1
28 11 0.0 0.0 -1
10 11 -6561.5 3.0 22.49
12 11 8794.109 18.0 -1.0
11 11 -8479.4 5.0 82106563.67999999
14 11 -11735.1 22.0 59.1
13 11 -10825.35 3.0 53989.2
13 11 -10825.35 3.0 53989.2
13 11 -10825.35 3.0 53989.2
16 11 -11230.0 3.0 0.301
16 11 -11230.0 3.0 0.301
15 11 -12079.0 13.0 1.07128
18 11 -11080.0 10.0 0.0441
18 11 -11080.0 10.0 0.0441
18 11 -11080.0 10.0 0.0441
17 11 -10960.0 10.0 0.0305
17 11 -10960.0 10.0 0.0305
19 11 -12620.0 11.0 0.048
19 11 -12620.0 11.0 0.048
19 11 -12620.0 11.0 0.048
19 11 -12620.0 11.0 0.048
11 12 -9650.64 16.0 11.317
10 12 -8142.5 4.0 3.8755
13 12 12063.85 5.0 -1.0
12 12 11692.696 13.0 -1.0
15 12 -11857.47 11.0 567.48
