n	 z	 alphaE(keV)	 deltaAlphaE(keV)	 halflife(s)
53 33 -8456.0 4.0 0.945
53 33 -8456.0 4.0 0.945
53 33 -8456.0 4.0 0.945
54 33 -8786.0 4.0 0.484
54 33 -8786.0 4.0 0.484
51 33 -9055.0 4.0 4.02
51 33 -9055.0 4.0 4.02
52 33 -7986.0 4.0 2.021
52 33 -7986.0 4.0 2.021
59 33 -10400.0 7.0 -1
46 33 -7600.0 5.0 540.6
47 33 -8343.0 4.0 15.2
44 33 -6641.9 24.0 139788.0
45 33 -7192.0 10.0 5442.0
42 33 6900.7 9.0 -1.0
42 33 -5320.0 12.0 -1.0
43 33 -6128.0 12.0 94538.88
40 33 -4050.0 4.0 6937920.0
41 33 -4374.8 21.0 1535328.0
41 33 -4374.8 21.0 1535328.0
48 33 -8966.0 4.0 33.3
49 33 -8826.0 4.0 19.1
49 33 -8826.0 4.0 19.1
35 33 -2486.6 23.0 151.6
36 33 -2880.0 3.0 912.0
33 33 -2463.0 6.0 0.09577
34 33 -2465.0 14.0 42.5
31 33 -2400.0 3.0 0.018000000000000002
32 33 -2230.0 9.0 0.128
30 33 -2200.0 3.0 -1
39 33 -3569.0 4.0 93600.0
37 33 -3035.2 18.0 3156.0
38 33 -3439.0 4.0 235080.0
28 33 -4200.0 5.0 -1
29 33 -3300.0 4.0 -1
27 33 -4200.0 6.0 -1
61 34 0.0 0.0 -1
61 34 0.0 0.0 -1
61 34 0.0 0.0 -1
60 34 -10800.0 7.0 -1
50 34 -8837.0 3.0 195.6
51 34 -8547.0 3.0 32.9
58 34 -9600.0 6.0 -1
59 34 -10200.0 6.0 -1
56 34 -8800.0 5.0 0.195
56 34 -8800.0 5.0 0.195
57 34 -9400.0 5.0 0.27
57 34 -9400.0 5.0 0.27
54 34 -8161.0 5.0 1.53
54 34 -8161.0 5.0 1.53
55 34 -8294.0 5.0 0.43
55 34 -8294.0 5.0 0.43
52 34 -7513.0 3.0 14.3
53 34 -7875.0 3.0 5.5
53 34 -7875.0 3.0 5.5
40 34 8549.0 4.0 -1.0
47 34 -7601.1 10.0 1107.0
47 34 -7601.1 10.0 1107.0
47 34 -7601.1 10.0 1107.0
48 34 12350.0 3.0 -1.0
45 34 -6485.41 23.0 10287777600000.0
45 34 -6485.41 23.0 10287777600000.0
45 34 -6485.41 23.0 10287777600000.0
46 34 -6971.5 9.0 -1.0
43 34 9597.1 9.0 -1.0
43 34 -5726.88 8.0 -1.0
44 34 10398.6 17.0 -1.0
41 34 -4687.7 8.0 10348992.0
42 34 9506.7 9.0 -1.0
49 34 -8240.0 4.0 1335.0
49 34 -8240.0 4.0 1335.0
36 34 -2748.0 3.0 2466.0
37 34 -2898.0 5.0 284.40000000000003
34 34 -2299.0 4.0 35.5
35 34 -2381.0 3.0 27.4
35 34 -2381.0 3.0 27.4
32 34 -1940.0 24.0 0.042
33 34 -2080.0 8.0 0.136
33 34 -2080.0 8.0 0.136
30 34 -1800.0 6.0 -1
31 34 -1700.0 4.0 0.033
31 34 -1700.0 4.0 0.033
38 34 -3314.0 3.0 725760.0
39 34 -3552.0 8.0 25740.0
39 34 -3552.0 8.0 25740.0
39 34 -3552.0 8.0 25740.0
29 34 0.0 nan -1
63 35 0.0 0.0 -1
63 35 0.0 0.0 -1
63 35 0.0 0.0 -1
62 35 0.0 0.0 -1
61 35 -10300.0 6.0 1.5000000000000002e-07
61 35 -10300.0 6.0 1.5000000000000002e-07
60 35 -9800.0 5.0 1.5000000000000002e-07
60 35 -9800.0 5.0 1.5000000000000002e-07
52 35 -6647.0 4.0 55.65
52 35 -6647.0 4.0 55.65
51 35 -7952.0 5.0 55.1
50 35 -8467.0 4.0 174.0
59 35 -9100.0 4.0 0.07
59 35 -9100.0 4.0 0.07
58 35 -8800.0 5.0 0.10200000000000001
58 35 -8800.0 5.0 0.10200000000000001
57 35 -8210.0 20.0 0.314
57 35 -8210.0 20.0 0.314
56 35 -7914.0 5.0 0.543
56 35 -7914.0 5.0 0.543
55 35 -7463.0 5.0 1.92
55 35 -7463.0 5.0 1.92
54 35 -7510.0 4.0 4.357
54 35 -7510.0 4.0 4.357
53 35 -7287.0 4.0 16.34
53 35 -7287.0 4.0 16.34
41 35 -4484.0 10.0 58320.0
41 35 -4484.0 10.0 58320.0
41 35 -4484.0 10.0 58320.0
40 35 -3639.0 6.0 5802.0
49 35 -7990.0 3.0 1905.6000000000001
49 35 -7990.0 3.0 1905.6000000000001
48 35 -7803.0 7.0 8546.4
47 35 -7107.0 10.0 127015.19999999998
47 35 -7107.0 10.0 127015.19999999998
47 35 -7107.0 10.0 127015.19999999998
46 35 7506.5 14.0 -1.0
45 35 -6022.6 13.0 1060.8
45 35 -6022.6 13.0 1060.8
45 35 -6022.6 13.0 1060.8
44 35 6331.1 10.0 -1.0
44 35 -5458.8 13.0 -1.0
43 35 -5017.0 4.0 387.0
43 35 -5017.0 4.0 387.0
42 35 -4707.0 5.0 205329.6
42 35 -4707.0 5.0 205329.6
30 35 -3100.0 7.0 -1
38 35 -2960.0 3.0 204.0
37 35 -2592.1 21.0 78.6
37 35 -2592.1 21.0 78.6
37 35 -2592.1 21.0 78.6
36 35 -2340.0 5.0 21.4
35 35 -1825.0 16.0 0.07909999999999999
35 35 -1825.0 16.0 0.07909999999999999
34 35 -1750.0 9.0 -1
33 35 -1700.0 3.0 -1
32 35 -1500.0 4.0 -1
31 35 -2200.0 5.0 -1
39 35 -3379.0 6.0 1524.0
39 35 -3379.0 6.0 1524.0
64 36 0.0 0.0 0.007
64 36 0.0 0.0 0.007
63 36 -10400.0 6.0 0.013000000000000001
63 36 -10400.0 6.0 0.013000000000000001
62 36 -9700.0 6.0 0.046
62 36 -9700.0 6.0 0.046
61 36 -9000.0 4.0 0.063
61 36 -9000.0 4.0 0.063
60 36 -8800.0 4.0 0.08
60 36 -8800.0 4.0 0.08
65 36 0.0 0.0 -1
65 36 0.0 0.0 -1
65 36 0.0 0.0 -1
53 36 -6547.0 3.0 189.0
52 36 -6168.0 3.0 10170.0
51 36 -7794.0 3.0 4578.0
50 36 11979.0 3.0 -1.0
59 36 -8000.0 4.0 0.114
59 36 -8000.0 4.0 0.114
58 36 -8000.0 3.0 0.212
58 36 -8000.0 3.0 0.212
57 36 -7569.0 4.0 1.286
57 36 -7569.0 4.0 1.286
56 36 -7310.0 4.0 1.84
56 36 -7310.0 4.0 1.84
55 36 -6973.0 3.0 8.57
54 36 -6881.0 3.0 32.32
42 36 -4390.0 3.0 4.73364e+28
41 36 -4367.0 8.0 4464.0
40 36 -3570.0 4.0 53280.0
49 36 -7516.2 22.0 338897066.40000004
49 36 -7516.2 22.0 338897066.40000004
49 36 -7516.2 22.0 338897066.40000004
48 36 10715.0 4.0 -1.0
47 36 9780.9 10.0 -1.0
47 36 -6498.09 22.0 -1.0
46 36 9903.7 10.0 -1.0
45 36 -5521.6 11.0 7226690400000.0
45 36 -5521.6 11.0 7226690400000.0
45 36 -5521.6 11.0 7226690400000.0
44 36 9114.4 11.0 -1.0
43 36 -4698.0 3.0 126144.0
43 36 -4698.0 3.0 126144.0
31 36 -700.0 6.0 -1
39 36 -3602.0 9.0 276.0
38 36 -2827.0 3.0 690.0
37 36 -2542.0 7.0 27.3
37 36 -2542.0 7.0 27.3
36 36 -2176.0 8.0 17.1
36 36 -2176.0 8.0 17.1
35 36 -2170.0 15.0 0.1
35 36 -2170.0 15.0 0.1
34 36 -1900.0 3.0 0.04
34 36 -1900.0 3.0 0.04
33 36 -1500.0 4.0 0.028
32 36 0.0 nan -1
55 37 -6481.0 7.0 4.492
55 37 -6481.0 7.0 4.492
56 37 -6771.0 8.0 5.84
56 37 -6771.0 8.0 5.84
57 37 -6987.0 4.0 2.702
57 37 -6987.0 4.0 2.702
58 37 -7208.0 21.0 0.3777
58 37 -7208.0 21.0 0.3777
59 37 -7546.0 7.0 0.203
59 37 -7546.0 7.0 0.203
50 37 -8009.0 4.0 1.56841272e+18
51 37 -7250.0 3.0 1066.3799999999999
51 37 -7250.0 3.0 1066.3799999999999
52 37 -5562.0 6.0 919.2
53 37 -6158.0 7.0 158.0
53 37 -6158.0 7.0 158.0
53 37 -6158.0 7.0 158.0
54 37 -6278.0 8.0 58.2
44 37 -4647.0 6.0 16459.2
44 37 -4647.0 6.0 16459.2
44 37 -4647.0 6.0 16459.2
45 37 -5161.0 5.0 75.45
45 37 -5161.0 5.0 75.45
45 37 -5161.0 5.0 75.45
46 37 -5427.0 3.0 7447680.0
47 37 -6294.9 24.0 2835648.0
47 37 -6294.9 24.0 2835648.0
47 37 -6294.9 24.0 2835648.0
48 37 7016.966 4.0 -1.0
49 37 -7673.2 10.0 1610668.8
49 37 -7673.2 10.0 1610668.8
49 37 -7673.2 10.0 1610668.8
49 37 -7673.2 10.0 1610668.8
40 37 -3610.0 7.0 226.2
41 37 -4072.0 7.0 1059.6
41 37 -4072.0 7.0 1059.6
41 37 -4072.0 7.0 1059.6
42 37 -4121.0 5.0 1374.0
43 37 -4311.0 10.0 33.4
34 37 -2200.0 5.0 -1
35 37 -2000.0 6.0 -1
36 37 -2180.0 6.0 -1
36 37 -2180.0 6.0 -1
37 37 -2915.0 15.0 0.06490000000000001
38 37 -3141.0 6.0 19.0
39 37 -3842.3 14.0 36.5
39 37 -3842.3 14.0 36.5
66 37 0.0 0.0 0.023
66 37 0.0 0.0 0.023
66 37 0.0 0.0 0.023
67 37 0.0 0.0 -1
60 37 -8100.0 4.0 0.1691
60 37 -8100.0 4.0 0.1691
60 37 -8100.0 4.0 0.1691
61 37 -9140.0 20.0 0.10200000000000001
61 37 -9140.0 20.0 0.10200000000000001
61 37 -9140.0 20.0 0.10200000000000001
61 37 -9140.0 20.0 0.10200000000000001
62 37 -9700.0 3.0 0.054
62 37 -9700.0 3.0 0.054
63 37 -10500.0 3.0 0.051000000000000004
63 37 -10500.0 3.0 0.051000000000000004
63 37 -10500.0 3.0 0.051000000000000004
64 37 -11000.0 4.0 0.032
64 37 -11000.0 4.0 0.032
65 37 -11600.0 4.0 0.037
65 37 -11600.0 4.0 0.037
67 38 -12000.0 7.0 0.039
67 38 -12000.0 7.0 0.039
67 38 -12000.0 7.0 0.039
68 38 0.0 0.0 0.02
68 38 0.0 0.0 0.02
68 38 0.0 0.0 0.02
69 38 0.0 0.0 -1
69 38 0.0 0.0 -1
69 38 0.0 0.0 -1
60 38 -7500.0 13.0 0.653
60 38 -7500.0 13.0 0.653
61 38 -8785.0 19.0 0.269
61 38 -8785.0 19.0 0.269
62 38 -9161.0 20.0 0.202
62 38 -9161.0 20.0 0.202
63 38 -10330.0 13.0 0.11800000000000001
63 38 -10330.0 13.0 0.11800000000000001
64 38 -10500.0 3.0 0.069
64 38 -10500.0 3.0 0.069
65 38 -11300.0 4.0 0.053
65 38 -11300.0 4.0 0.053
65 38 -11300.0 4.0 0.053
66 38 -11700.0 5.0 0.053
66 38 -11700.0 5.0 0.053
66 38 -11700.0 5.0 0.053
56 38 -6311.4 25.0 75.3
57 38 -6568.0 6.0 23.9
58 38 -6574.0 9.0 1.07
59 38 -6870.0 4.0 0.429
59 38 -6870.0 4.0 0.429
50 38 10612.798 7.0 -1.0
51 38 -7153.6 20.0 4368643.2
52 38 -5110.2 14.0 912014640.0
53 38 -5367.0 5.0 34740.0
54 38 -5601.0 4.0 9576.0
55 38 -5975.0 8.0 445.79999999999995
45 38 -4780.0 8.0 116675.99999999999
45 38 -4780.0 8.0 116675.99999999999
46 38 8868.0 3.0 -1.0
47 38 -5832.0 3.0 5602953.600000001
47 38 -5832.0 3.0 5602953.600000001
47 38 -5832.0 3.0 5602953.600000001
48 38 9644.73 5.0 -1.0
49 38 9422.04 20.0 -1.0
49 38 -7314.349 9.0 -1.0
49 38 -7314.349 9.0 -1.0
40 38 -3267.0 8.0 160.0
41 38 -3581.0 11.0 135.0
42 38 -3723.0 5.0 6378.0
43 38 -3784.0 4.0 1338.0
44 38 -4257.0 6.0 2189376.0
35 38 -2200.0 5.0 -1
35 38 -2200.0 5.0 -1
36 38 -2150.0 22.0 0.027
36 38 -2150.0 22.0 0.027
37 38 -2700.0 3.0 0.088
37 38 -2700.0 3.0 0.088
38 38 -2730.0 4.0 7.89
38 38 -2730.0 4.0 7.89
39 38 -3677.0 10.0 9.0
39 38 -3677.0 10.0 9.0
69 39 -11800.0 8.0 0.03
69 39 -11800.0 8.0 0.03
69 39 -11800.0 8.0 0.03
68 39 -11200.0 6.0 0.0035
68 39 -11200.0 6.0 0.0035
68 39 -11200.0 6.0 0.0035
61 39 -8392.0 12.0 0.735
61 39 -8392.0 12.0 0.735
61 39 -8392.0 12.0 0.735
60 39 -7178.0 21.0 1.484
60 39 -7178.0 21.0 1.484
63 39 -9228.0 17.0 0.36
63 39 -9228.0 17.0 0.36
63 39 -9228.0 17.0 0.36
63 39 -9228.0 17.0 0.36
62 39 -8961.0 7.0 0.45
62 39 -8961.0 7.0 0.45
65 39 -10240.0 20.0 0.197
65 39 -10240.0 20.0 0.197
65 39 -10240.0 20.0 0.197
64 39 -9761.0 12.0 0.23
64 39 -9761.0 12.0 0.23
67 39 -11000.0 5.0 0.079
67 39 -11000.0 5.0 0.079
67 39 -11000.0 5.0 0.079
66 39 -10400.0 4.0 0.095
66 39 -10400.0 4.0 0.095
66 39 -10400.0 4.0 0.095
70 39 0.0 0.0 0.025
70 39 0.0 0.0 0.025
70 39 0.0 0.0 0.025
58 39 -5920.0 10.0 3.75
58 39 -5920.0 10.0 3.75
58 39 -5920.0 10.0 3.75
58 39 -5920.0 10.0 3.75
58 39 -5920.0 10.0 3.75
58 39 -5920.0 10.0 3.75
58 39 -5920.0 10.0 3.75
57 39 -5982.0 9.0 5.34
57 39 -5982.0 9.0 5.34
59 39 -6151.0 8.0 0.548
59 39 -6151.0 8.0 0.548
59 39 -6151.0 8.0 0.548
59 39 -6151.0 8.0 0.548
59 39 -6151.0 8.0 0.548
50 39 7078.5 3.0 -1.0
50 39 -7968.8 3.0 -1.0
52 39 -4178.4 18.0 5055264.0
52 39 -4178.4 18.0 5055264.0
52 39 -4178.4 18.0 5055264.0
51 39 -6174.8 4.0 230590.8
51 39 -6174.8 4.0 230590.8
51 39 -6174.8 4.0 230590.8
54 39 -4940.0 12.0 36648.0
54 39 -4940.0 12.0 36648.0
53 39 -4632.0 9.0 12744.0
56 39 -5888.0 10.0 618.0
55 39 -5411.0 9.0 1122.0
47 39 -5520.0 14.0 53064.0
47 39 -5520.0 14.0 53064.0
47 39 -5520.0 14.0 53064.0
46 39 -4810.0 20.0 9648.0
46 39 -4810.0 20.0 9648.0
46 39 -4810.0 20.0 9648.0
49 39 -6965.0 3.0 9212486.4
48 39 -6373.0 3.0 287280.0
48 39 -6373.0 3.0 287280.0
48 39 -6373.0 3.0 287280.0
41 39 -3094.0 6.0 30.1
41 39 -3094.0 6.0 30.1
41 39 -3094.0 6.0 30.1
41 39 -3094.0 6.0 30.1
40 39 -3010.0 8.0 14.8
40 39 -3010.0 8.0 14.8
43 39 -3554.0 6.0 8.3
42 39 -3307.0 6.0 70.4
45 39 -4144.0 5.0 2370.0
45 39 -4144.0 5.0 2370.0
44 39 -3828.0 19.0 424.8
44 39 -3828.0 19.0 424.8
44 39 -3828.0 19.0 424.8
36 39 -1700.0 3.0 -1
38 39 -2850.0 21.0 0.057
38 39 -2850.0 21.0 0.057
38 39 -2850.0 21.0 0.057
37 39 -2300.0 6.0 -1
37 39 -2300.0 6.0 -1
39 39 -2700.0 3.0 0.053
39 39 -2700.0 3.0 0.053
39 39 -2700.0 3.0 0.053
39 39 -2700.0 3.0 0.053
69 40 -10000.0 7.0 0.056
69 40 -10000.0 7.0 0.056
69 40 -10000.0 7.0 0.056
68 40 -9600.0 5.0 0.07740000000000001
68 40 -9600.0 5.0 0.07740000000000001
67 40 -9200.0 4.0 0.146
67 40 -9200.0 4.0 0.146
66 40 -9010.0 21.0 0.18
66 40 -9010.0 21.0 0.18
61 40 -7005.0 9.0 2.3
60 40 -5879.0 12.0 7.1
65 40 -8558.0 15.0 0.67
65 40 -8558.0 15.0 0.67
64 40 -8325.0 12.0 0.87
64 40 -8325.0 12.0 0.87
63 40 -7715.0 10.0 1.32
63 40 -7715.0 10.0 1.32
62 40 -7584.0 9.0 2.9
58 40 -4861.0 9.0 30.7
57 40 -5276.0 8.0 60296.399999999994
56 40 -4996.0 3.0 7.416036e+26
55 40 -4433.0 6.0 5532364.8
59 40 -4924.0 12.0 2.1
50 40 8350.3 4.0 -1.0
50 40 -6674.36 12.0 -1.0
54 40 10331.0 10.0 -1.0
53 40 -3337.9 5.0 50807736000000.0
52 40 9396.7 18.0 -1.0
51 40 8687.7 4.0 -1.0
47 40 -4974.0 8.0 6048.0
47 40 -4974.0 8.0 6048.0
46 40 -4384.0 7.0 59400.0
45 40 -4072.0 7.0 471.6
45 40 -4072.0 7.0 471.6
45 40 -4072.0 7.0 471.6
44 40 -3535.0 6.0 1548.0
49 40 -6200.0 4.0 282276.0
49 40 -6200.0 4.0 282276.0
49 40 -6200.0 4.0 282276.0
48 40 -5404.0 6.0 7205760.000000001
48 40 -5404.0 6.0 7205760.000000001
43 40 -2857.0 10.0 42.0
43 40 -2857.0 10.0 42.0
42 40 -2865.0 8.0 32.0
41 40 -2150.0 9.0 5.5
41 40 -2150.0 9.0 5.5
40 40 -2900.0 3.0 4.6
40 40 -2900.0 3.0 4.6
39 40 -2600.0 4.0 0.056
39 40 -2600.0 4.0 0.056
38 40 -2400.0 4.0 -1
37 40 600.0 5.0 -1
72 40 0.0 0.0 0.03
72 40 0.0 0.0 0.03
72 40 0.0 0.0 0.03
71 40 -10700.0 9.0 0.024
71 40 -10700.0 9.0 0.024
71 40 -10700.0 9.0 0.024
70 40 -10300.0 8.0 0.0375
70 40 -10300.0 8.0 0.0375
70 40 -10300.0 8.0 0.0375
73 40 0.0 0.0 -1
39 41 -1100.0 5.0 -1
38 41 -1900.0 6.0 -1
73 41 0.0 0.0 0.017
73 41 0.0 0.0 0.017
73 41 0.0 0.0 0.017
72 41 -10200.0 8.0 0.032
72 41 -10200.0 8.0 0.032
72 41 -10200.0 8.0 0.032
71 41 -9700.0 7.0 0.033
70 41 -9400.0 6.0 0.051000000000000004
75 41 0.0 0.0 -1
74 41 0.0 0.0 0.023
74 41 0.0 0.0 0.023
74 41 0.0 0.0 0.023
69 41 -8900.0 10.0 0.08600000000000001
69 41 -8900.0 10.0 0.08600000000000001
68 41 -8500.0 6.0 0.106
68 41 -8500.0 6.0 0.106
67 41 -7890.0 20.0 0.198
67 41 -7890.0 20.0 0.198
67 41 -7890.0 20.0 0.198
67 41 -7890.0 20.0 0.198
62 41 -6810.0 8.0 1.5
61 41 -6434.0 8.0 4.3
61 41 -6434.0 8.0 4.3
60 41 -5201.0 8.0 7.1
66 41 -7692.0 14.0 0.3
66 41 -7692.0 14.0 0.3
65 41 -7455.0 4.0 1.02
65 41 -7455.0 4.0 1.02
65 41 -7455.0 4.0 1.02
64 41 -7286.0 8.0 2.95
64 41 -7286.0 8.0 2.95
63 41 -6915.0 11.0 4.9
63 41 -6915.0 11.0 4.9
63 41 -6915.0 11.0 4.9
63 41 -6915.0 11.0 4.9
59 41 -3886.0 10.0 1.5
59 41 -3886.0 10.0 1.5
58 41 -3552.0 14.0 15.0
58 41 -3552.0 14.0 15.0
58 41 -3552.0 14.0 15.0
57 41 -3598.0 8.0 2.86
57 41 -3598.0 8.0 2.86
57 41 -3598.0 8.0 2.86
56 41 -3801.0 11.0 4326.0
56 41 -3801.0 11.0 4326.0
51 41 -4579.2 23.0 1095048720000000.0
51 41 -4579.2 23.0 1095048720000000.0
51 41 -4579.2 23.0 1095048720000000.0
50 41 -6045.0 3.0 21459168000.0
50 41 -6045.0 3.0 21459168000.0
50 41 -6045.0 3.0 21459168000.0
55 41 -3211.0 9.0 84060.0
54 41 -2859.9 19.0 3023222.4
54 41 -2859.9 19.0 3023222.4
54 41 -2859.9 19.0 3023222.4
53 41 -2297.1 15.0 640619280000.0
53 41 -2297.1 15.0 640619280000.0
53 41 -2297.1 15.0 640619280000.0
52 41 6042.8 15.0 -1.0
52 41 -1926.6 15.0 -1.0
48 41 -5210.0 3.0 7307.999999999999
48 41 -5210.0 3.0 7307.999999999999
47 41 -4700.0 6.0 873.0
47 41 -4700.0 6.0 873.0
46 41 -4094.0 20.0 222.0
46 41 -4094.0 20.0 222.0
45 41 -3495.0 8.0 88.0
49 41 -5803.0 15.0 52560.0
49 41 -5803.0 15.0 52560.0
40 41 -2300.0 4.0 -1
44 41 -2992.0 7.0 20.5
44 41 -2992.0 7.0 20.5
44 41 -2992.0 7.0 20.5
43 41 -2471.0 6.0 9.8
43 41 -2471.0 6.0 9.8
42 41 -2230.0 18.0 3.9
41 41 -2100.0 4.0 0.05
41 41 -2100.0 4.0 0.05
70 42 -9000.0 4.0 0.12
75 42 -11800.0 6.0 0.022
75 42 -11800.0 6.0 0.022
75 42 -11800.0 6.0 0.022
76 42 0.0 0.0 0.019
76 42 0.0 0.0 0.019
76 42 0.0 0.0 0.019
77 42 0.0 0.0 -1
71 42 -9300.0 6.0 0.08
71 42 -9300.0 6.0 0.08
72 42 -9900.0 6.0 0.058
72 42 -9900.0 6.0 0.058
73 42 -10500.0 7.0 0.0455
73 42 -10500.0 7.0 0.0455
73 42 -10500.0 7.0 0.0455
74 42 -11200.0 9.0 0.032
74 42 -11200.0 9.0 0.032
74 42 -11200.0 9.0 0.032
68 42 -8210.0 20.0 0.296
68 42 -8210.0 20.0 0.296
69 42 -8300.0 3.0 0.186
69 42 -8300.0 3.0 0.186
64 42 -6971.0 13.0 8.73
65 42 -7161.0 13.0 3.5
66 42 -7457.0 13.0 1.09
66 42 -7457.0 13.0 1.09
67 42 -7626.0 16.0 0.66
67 42 -7626.0 16.0 0.66
60 42 -4704.0 12.0 678.0
61 42 -5763.0 14.0 67.5
62 42 -6396.0 12.0 60.0
63 42 -6595.0 12.0 35.6
57 42 -2735.1 9.0 237513.6
58 42 -3179.1 3.0 2.3037048e+26
59 42 -3008.2 3.0 876.5999999999999
53 42 8631.8 15.0 -1.0
54 42 9297.6 5.0 -1.0
55 42 9230.84 19.0 -1.0
56 42 9802.0 4.0 -1.0
50 42 7460.0 3.0 -1.0
51 42 -4354.0 3.0 126230400000.0
51 42 -4354.0 3.0 126230400000.0
51 42 -4354.0 3.0 126230400000.0
52 42 8490.2 15.0 -1.0
46 42 -3690.0 7.0 480.0
47 42 -4265.0 8.0 126.6
47 42 -4265.0 8.0 126.6
48 42 -4628.0 5.0 20016.0
49 42 -5287.0 7.0 929.4
49 42 -5287.0 7.0 929.4
49 42 -5287.0 7.0 929.4
42 42 -1800.0 4.0 2.3
42 42 -1800.0 4.0 2.3
43 42 -2410.0 9.0 3.2
43 42 -2410.0 9.0 3.2
44 42 -2922.0 3.0 19.1
45 42 -3398.0 7.0 14.02
45 42 -3398.0 7.0 14.02
40 42 -1900.0 6.0 -1
40 42 -1900.0 6.0 -1
41 42 -2000.0 5.0 0.006
39 42 -2300.0 6.0 -1
39 42 -2300.0 6.0 -1
58 43 -3167.0 24.0 841.1999999999999
59 43 -3473.0 10.0 5.28
59 43 -3473.0 10.0 5.28
59 43 -3473.0 10.0 5.28
54 43 -2437.0 4.0 132857496000000.0
54 43 -2437.0 4.0 132857496000000.0
54 43 -2437.0 4.0 132857496000000.0
55 43 -2488.0 4.0 132541920000000.0
56 43 -2966.5 10.0 6661809360000.0
56 43 -2966.5 10.0 6661809360000.0
56 43 -2966.5 10.0 6661809360000.0
57 43 -2843.0 14.0 15.46
57 43 -2843.0 14.0 15.46
50 43 -5405.0 24.0 9900.0
50 43 -5405.0 24.0 9900.0
50 43 -5405.0 24.0 9900.0
51 43 -3922.0 5.0 17580.0
51 43 -3922.0 5.0 17580.0
51 43 -3922.0 5.0 17580.0
52 43 -1808.0 6.0 72000.0
52 43 -1808.0 6.0 72000.0
52 43 -1808.0 6.0 72000.0
53 43 -1793.0 5.0 369792.0
53 43 -1793.0 5.0 369792.0
53 43 -1793.0 5.0 369792.0
47 43 -4016.0 6.0 8.7
47 43 -4016.0 6.0 8.7
48 43 -4537.0 7.0 188.4
48 43 -4537.0 7.0 188.4
48 43 -4537.0 7.0 188.4
49 43 -5180.0 6.0 255.0
43 43 -2200.0 4.0 0.055
43 43 -2200.0 4.0 0.055
44 43 -2500.0 16.0 2.2
45 43 -2901.0 4.0 6.4
45 43 -2901.0 4.0 6.4
46 43 -3540.0 6.0 12.8
46 43 -3540.0 6.0 12.8
46 43 -3540.0 6.0 12.8
40 43 -1800.0 6.0 -1
41 43 -1400.0 6.0 -1
42 43 -1900.0 6.0 0.5
70 43 -8500.0 4.0 0.152
70 43 -8500.0 4.0 0.152
70 43 -8500.0 4.0 0.152
71 43 -8700.0 9.0 0.1
71 43 -8700.0 9.0 0.1
71 43 -8700.0 9.0 0.1
71 43 -8700.0 9.0 0.1
76 43 -11700.0 7.0 0.022
76 43 -11700.0 7.0 0.022
76 43 -11700.0 7.0 0.022
77 43 -12200.0 6.0 0.021
77 43 -12200.0 6.0 0.021
77 43 -12200.0 6.0 0.021
78 43 0.0 0.0 0.022
78 43 0.0 0.0 0.022
78 43 0.0 0.0 0.022
79 43 0.0 0.0 -1
72 43 -9300.0 4.0 0.078
72 43 -9300.0 4.0 0.078
73 43 -9600.0 4.0 0.057
74 43 -10400.0 6.0 0.0445
74 43 -10400.0 6.0 0.0445
74 43 -10400.0 6.0 0.0445
75 43 -10800.0 6.0 0.03
75 43 -10800.0 6.0 0.03
75 43 -10800.0 6.0 0.03
69 43 -8139.0 10.0 0.271
69 43 -8139.0 10.0 0.271
60 43 -4693.0 15.0 54.2
65 43 -6537.0 9.0 5.17
66 43 -6792.0 10.0 0.86
66 43 -6792.0 10.0 0.86
67 43 -7257.0 10.0 0.92
67 43 -7257.0 10.0 0.92
68 43 -7726.0 13.0 0.35000000000000003
68 43 -7726.0 13.0 0.35000000000000003
61 43 -5130.0 3.0 1098.0
62 43 -5820.0 4.0 456.0
63 43 -5903.0 13.0 35.6
64 43 -6146.0 10.0 21.2
81 44 0.0 0.0 -1
80 44 0.0 0.0 0.015
80 44 0.0 0.0 0.015
80 44 0.0 0.0 0.015
70 44 -8110.0 24.0 0.52
72 44 -9010.0 20.0 0.20400000000000001
72 44 -9010.0 20.0 0.20400000000000001
71 44 -8590.0 3.0 0.318
71 44 -8590.0 3.0 0.318
71 44 -8590.0 3.0 0.318
78 44 -11800.0 7.0 0.025
78 44 -11800.0 7.0 0.025
78 44 -11800.0 7.0 0.025
77 44 -11400.0 6.0 0.029
77 44 -11400.0 6.0 0.029
77 44 -11400.0 6.0 0.029
79 44 -12400.0 6.0 0.019
79 44 -12400.0 6.0 0.019
79 44 -12400.0 6.0 0.019
74 44 -9700.0 4.0 0.123
74 44 -9700.0 4.0 0.123
74 44 -9700.0 4.0 0.123
73 44 -9300.0 5.0 0.151
73 44 -9300.0 5.0 0.151
76 44 -10900.0 6.0 0.045
76 44 -10900.0 6.0 0.045
75 44 -10000.0 5.0 0.0695
75 44 -10000.0 5.0 0.0695
75 44 -10000.0 5.0 0.0695
75 44 -10000.0 5.0 0.0695
61 44 -4839.5 25.0 15984.000000000002
60 44 10781.0 9.0 -1.0
67 44 -6665.0 13.0 2.12
66 44 -6370.0 13.0 11.6
69 44 -7630.0 4.0 0.8
69 44 -7630.0 4.0 0.8
68 44 -7306.0 13.0 1.75
63 44 -5333.0 13.0 225.0
62 44 -5187.0 10.0 32123520.0
65 44 -5833.0 13.0 34.5
64 44 -5743.0 12.0 273.0
59 44 -3722.0 5.0 3390940.8
50 44 -4836.0 5.0 3108.0
56 44 9188.5 9.0 -1.0
